Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,
S1A_IW_SLC__1SDV_20170722T224526_20170722T224553_017590_01D6D9_FC29,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17590,18,559,2017-07-22T22:45:53.000000,2017-07-22T22:45:26.000000,SLC,2017-07-22T22:45:26.000000,2017-07-22T22:45:53.000000,10,105.6836,10.589547,106.974205,11.034737,104.71962,8.959464,106.639519,9.408952,104.396523,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170722T224526_20170722T224553_017590_01D6D9_FC29.zip,4328.829255,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170803T224527_20170803T224554_017765_01DC33_99E3,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17765,18,559,2017-08-03T22:45:54.000000,2017-08-03T22:45:27.000000,SLC,2017-08-03T22:45:27.000000,2017-08-03T22:45:54.000000,10.0005,105.683,10.59008,106.97364,11.03527,104.719093,8.959996,106.638954,9.409485,104.395988,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170803T224527_20170803T224554_017765_01DC33_99E3.zip,4355.963798,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170815T224528_20170815T224555_017940_01E187_C62D,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",17940,18,559,2017-08-15T22:45:55.000000,2017-08-15T22:45:28.000000,SLC,2017-08-15T22:45:28.000000,2017-08-15T22:45:55.000000,9.9997,105.6829,10.589185,106.973412,11.034399,104.718994,8.95935,106.638733,9.408861,104.395905,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170815T224528_20170815T224555_017940_01E187_C62D.zip,4368.272138,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170827T224528_20170827T224555_018115_01E6D1_4AAB,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18115,18,559,2017-08-27T22:45:55.000000,2017-08-27T22:45:28.000000,SLC,2017-08-27T22:45:28.000000,2017-08-27T22:45:55.000000,10.0001,105.6833,10.589433,106.97393,11.034664,104.719315,8.959854,106.63932,9.409383,104.396286,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170827T224528_20170827T224555_018115_01E6D1_4AAB.zip,4304.913232,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170908T224529_20170908T224556_018290_01EC2A_E900,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18290,18,559,2017-09-08T22:45:56.000000,2017-09-08T22:45:29.000000,SLC,2017-09-08T22:45:29.000000,2017-09-08T22:45:56.000000,10,105.6835,10.588616,106.973961,11.033806,104.719391,8.960403,106.639648,9.409887,104.39666,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170908T224529_20170908T224556_018290_01EC2A_E900.zip,4264.00808,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20170920T224529_20170920T224556_018465_01F18C_DFE9,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18465,18,559,2017-09-20T22:45:56.000000,2017-09-20T22:45:29.000000,SLC,2017-09-20T22:45:29.000000,2017-09-20T22:45:56.000000,10.0002,105.683,10.589639,106.973648,11.034821,104.719086,8.95993,106.63903,9.409409,104.396057,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170920T224529_20170920T224556_018465_01F18C_DFE9.zip,4276.120739,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171002T224530_20171002T224556_018640_01F6EE_44A1,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18640,18,559,2017-10-02T22:45:56.000000,2017-10-02T22:45:30.000000,SLC,2017-10-02T22:45:30.000000,2017-10-02T22:45:56.000000,9.9994,105.6831,10.588937,106.973686,11.034134,104.719208,8.958858,106.638962,9.408352,104.39608,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171002T224530_20171002T224556_018640_01F6EE_44A1.zip,4272.299884,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171014T224530_20171014T224557_018815_01FC40_761E,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18815,18,558,2017-10-14T22:45:57.000000,2017-10-14T22:45:30.000000,SLC,2017-10-14T22:45:30.000000,2017-10-14T22:45:57.000000,9.9995,105.6831,10.589063,106.97374,11.034295,104.719223,8.958991,106.638992,9.408521,104.396072,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171014T224530_20171014T224557_018815_01FC40_761E.zip,4303.00063,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171026T224530_20171026T224557_018990_02018F_313F,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",18990,18,558,2017-10-26T22:45:57.000000,2017-10-26T22:45:30.000000,SLC,2017-10-26T22:45:30.000000,2017-10-26T22:45:57.000000,10.0002,105.6828,10.588926,106.973297,11.034161,104.718788,8.960596,106.638901,9.410122,104.395981,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171026T224530_20171026T224557_018990_02018F_313F.zip,4196.568037,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171107T224530_20171107T224556_019165_0206FC_D190,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",19165,18,558,2017-11-07T22:45:56.000000,2017-11-07T22:45:30.000000,SLC,2017-11-07T22:45:30.000000,2017-11-07T22:45:56.000000,10.0002,105.6833,10.589193,106.973793,11.034402,104.719238,8.960362,106.639313,9.409863,104.396347,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171107T224530_20171107T224556_019165_0206FC_D190.zip,4220.116176,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171119T224529_20171119T224556_019340_020C77_B75C,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",19340,18,558,2017-11-19T22:45:56.000000,2017-11-19T22:45:29.000000,SLC,2017-11-19T22:45:29.000000,2017-11-19T22:45:56.000000,10.0005,105.683,10.589687,106.973618,11.034884,104.719048,8.960484,106.639069,9.409973,104.396095,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171119T224529_20171119T224556_019340_020C77_B75C.zip,4207.75703,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171201T224529_20171201T224556_019515_0211F1_38C2,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",19515,18,558,2017-12-01T22:45:56.000000,2017-12-01T22:45:29.000000,SLC,2017-12-01T22:45:29.000000,2017-12-01T22:45:56.000000,10,105.6836,10.588922,106.974167,11.034115,104.719597,8.960216,106.639717,9.409699,104.396744,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171201T224529_20171201T224556_019515_0211F1_38C2.zip,4266.495023,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171213T224529_20171213T224556_019690_02176B_816F,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",19690,18,558,2017-12-13T22:45:56.000000,2017-12-13T22:45:29.000000,SLC,2017-12-13T22:45:29.000000,2017-12-13T22:45:56.000000,10.0007,105.6838,10.589737,106.97435,11.034949,104.719772,8.960784,106.639839,9.410288,104.396858,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171213T224529_20171213T224556_019690_02176B_816F.zip,4283.637853,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20171225T224528_20171225T224555_019865_021CD0_2C94,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",19865,18,558,2017-12-25T22:45:55.000000,2017-12-25T22:45:28.000000,SLC,2017-12-25T22:45:28.000000,2017-12-25T22:45:55.000000,10.0012,105.6842,10.590156,106.974762,11.035394,104.720177,8.961206,106.640228,9.410736,104.39724,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171225T224528_20171225T224555_019865_021CD0_2C94.zip,4348.338898,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20180106T224528_20180106T224554_020040_02225C_A3FD,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20040,18,558,2018-01-06T22:45:54.000000,2018-01-06T22:45:28.000000,SLC,2018-01-06T22:45:28.000000,2018-01-06T22:45:54.000000,10.0008,105.6835,10.589808,106.97406,11.035038,104.719475,8.960856,106.639534,9.410379,104.396545,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180106T224528_20180106T224554_020040_02225C_A3FD.zip,4324.958824,NA,NA,NA,0,
S1A_IW_SLC__1SDV_20180118T224527_20180118T224554_020215_0227E8_5D1A,Sentinel-1A,SENTINEL-1 C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20215,18,558,2018-01-18T22:45:54.000000,2018-01-18T22:45:27.000000,SLC,2018-01-18T22:45:27.000000,2018-01-18T22:45:54.000000,10.001,105.683,10.590138,106.97361,11.035329,104.719025,8.960935,106.639061,9.410419,104.396072,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180118T224527_20180118T224554_020215_0227E8_5D1A.zip,4311.315083,NA,NA,NA,0,
